ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0000794154-24-000003	101	SEPRAGEN CORP	Vinit Saxena	Vinit Saxena	President	2024-10-17
0001816293-24-000002	101	Orb Aerospace, Inc.	Alexander J. Taylor	Alexander J. Taylor	Chief Executive Officer	2024-10-17
0001052354-24-000001	101	MAN AHL DIVERSIFIED I LP	Solomon E. Kuckelman	Solomon E. Kuckelman	Secretary of the General Partner	2024-10-17
0001728735-24-000002	101	CW Land Co., LLC	Quinton Stephens	Quinton Stephens	General Counsel	2024-10-17
0002032129-24-000005	101	GMI-CS 205, LP	William P. Glass	William P. Glass	manager of the general partner of the issuer	2024-10-17
0002025425-24-000005	101	GMI-DFW Preferred, LP	William P. Glass	William P. Glass	manager of the general partner of the issuer	2024-10-17
0000950123-24-009738	101	Grayscale Aave Trust (AAVE)	/s/ Edward McGee	Edward McGee	Chief Financial Officer	2024-10-17
0002041421-24-000001	101	Lodging Fund One LLC	Carolyn Gonzales	Carolyn Gonzales	Attorney in Fact	2024-10-17
0001951819-24-000002	101	Pine River Multi-Strategy Fund Ltd.	Liz Olney Arms	Liz Olney Arms	CCO, Pine River Capital Management LP, its InvestmentManager	2024-10-17
0002041317-24-000004	101	BSV Star Queen, LLC	/s/ Philip Scully	Philip Scully	Manager of the Manager of the Issuer	2024-10-16
0002041337-24-000001	101	VF Oakview LLC	Steven Pesavento	Steven Pesavento	Manager of VonFinch Capital, LLC, Manager of Issuer	2024-10-17
0002037852-24-000003	101	AsymmetricAlpha Absolute Return Fund LP	Jason Randolph	Jason Randolph	Manager	2024-10-16
0002040972-24-000001	101	Snackbar Studio, Inc.	S. Rand Fishkin	S. Rand Fishkin	President	2024-10-17
0002041264-24-000001	101	Iconic Imaging, LLC	Maureen Kenney	Maureen Kenney	Director	2024-10-17
0001944769-24-000006	101	Texas Strategic Growth Fund, L.P.	/s/ Jim Plohg	Jim Plohg	General Counsel/VP/Secretary of the GP of the Issuer	2024-10-17
0001951819-24-000001	101	Pine River Multi-Strategy Master Fund Ltd.	Liz Olney Arms	Liz Olney Arms	CCO, Pine River Capital Management LP, its InvestmentManager	2024-10-17
0001465818-24-000011	101	Onconetix, Inc.	/s/ Karina Fedasz	Karina Fedasz	Interim Chief Financial Officer	2024-10-17
0002018684-24-000021	101	INSTITUTIONAL DRILLING FUND I LP	/s/ Matthew P. Iak	Matthew P. Iak	Executive Vice President of Managing General Partner	2024-10-17
0001838175-24-000001	101	Feedstore Ltd.	Byron Elliott	Byron Elliott	Promoter	2024-10-17
0002040372-24-000001	101	NYC CLF, L.P.	BRIAN SCHWARTZ	BRIAN SCHWARTZ	CHIEF COMPLIANCE OFFICER	2024-10-17
0002000251-24-000005	101	AEI Healthcare Portfolio V DST	THOMAS HERSTAD	THOMAS HERSTAD AUTHORIZED SIGNATORY FOR MARNI J NYGARD	PRESIDENT OF THE ISSUER'S MANAGER	2024-10-17
0002040463-24-000001	101	Martagon Fund I L.P.	Richard Chen	Richard Chen	Authorized Person	2024-10-17
0001042167-24-000068	101	Fortune Favors LLC	/s/ Sam McDaniel	Sam McDaniel	Chief Executive Officer	2024-10-15
0002018562-24-000023	101	USEDC 2024 B Drilling Fund LP	/s/ Matthew P. Iak	Matthew P. Iak	Executive Vice President of Managing General Partner	2024-10-17
0002040126-24-000001	101	Balderton Capital Growth II A, S.L.P.	Petr Klimo	Petr Klimo	Manager	2024-10-17
0002041557-24-000001	101	Aghajohn Capital Partners, L.P.	Nathan A. Maghsoudi	Nathan A. Maghsoudi	Manager	2024-10-17
0002029919-24-000003	101	Harmonic Investors LLC Equity Income Plus	Chad D. Atkins	Chad D Atkins	Director/President	2024-10-17
0001987775-24-000005	101	AEI NET LEASE PORTFOLIO 23 DST	THOMAS HERSTAD	THOMAS HERSTAD AUTHORIZED SIGNATORY FOR MARNI J NYGARD	PRESIDENT OF THE ISSUER'S MANAGER	2024-10-17
0002038408-24-000001	101	Upper Tier Aviator DC REIT, LLC	Jeffrey Ginsberg	Jeffrey Ginsberg	Authorized Officer	2024-10-17
0002018684-24-000020	101	INSTITUTIONAL DRILLING FUND I LP	/s/ Matthew P. Iak	Matthew P. Iak	Executive Vice President of Managing General Partner	2024-10-17
0002039155-24-000002	101	Courthouse Square OZ II, LLC	John J. Cust, Jr.	John J. Cust, Jr.	Executive Officer	2024-10-17
0002040124-24-000001	101	Balderton Capital IX A, S.L.P.	Petr Klimo	Petr Klimo	Manager	2024-10-17
0002040763-24-000002	101	Hera Co-Investment, L.P.	StefanMathiasJacobVanOorschot	Stefan Mathias Jacob Van Oorschot	Director of general partner of issuer	2024-10-17
0002041494-24-000001	101	DAPT Cross Creek LLC	David Utley	David Utley	Attorney In Fact	2024-10-17
0001856619-24-000002	101	Treeline Biosciences, Inc.	/s/ Joshua Bilenker	Joshua H. Bilenker, M.D.	Chief Executive Officer	2024-10-17
0002040487-24-000001	101	Emerald Willow, LLC	Ruben Kliksberg	Ruben Kliksberg	Managing Member	2024-10-17
0002039155-24-000001	101	Flemington Center Urban Renewal, LLC	John J. Cust, Jr.	John J. Cust, Jr.	Executive Officer	2024-10-17
0001593535-24-000001	101	Gray's Creek Capital Partners Fund I, LP	Jason R. Little	Jason R. Little	Managing Partner	2024-10-17
0001828828-24-000005	101	HomeThrive, Inc.	/s/ David Jacobs	David Jacobs	Director	2024-10-17
0001947418-24-000001	101	Ironton Capital Short Term Income Fund, LLC	Byron Elliott	Byron Elliott	Attorney	2024-10-17
0002041137-24-000001	101	3Spoke - Pinegrove, LP	/s/ Ian Leisegang	Ian Leisegang	Managing Director of the GP of the Issuer	2024-10-17
0002026331-24-000002	101	Adoreal, Inc.	Thomas Fuller	Thomas Fuller	Chief Executive Officer	2024-10-09
0000950103-24-015043	101	MAI Capital GP Staking Fund, LP	/s/ Richard J. Buoncore	Richard J. Buoncore	Manager of the General Partner	2024-10-17
0000950103-24-015042	101	MAI Capital GP Staking Fund Feeder, L.P.	/s/ Richard J. Buoncore	Richard J. Buoncore	Manager of the General Partner	2024-10-17
0002041135-24-000001	101	3Spoke Capital - CRM001-01, LP	/s/ Ian Leisegang	Ian Leisegang	Managing Director of the GP of the Issuer	2024-10-17
0000950123-24-009734	101	Bella Calida Select LLC	/s/ Jared M. Weinstock	Jared M. Weinstock	Chief Operating Officer & General Counsel	2024-10-17
0002041191-24-000001	101	MCB Harford Road Holdco LLC	Peter David Bramble	Peter David Bramble	President of the Issuer's Manager	2024-10-17
0001888934-24-000001	101	Arka India Fund	Ballabh Modani	Ballabh Modani	Director	2024-10-17
0002038335-24-000001	101	290 Binney SubREIT LLC	Maura L. Wheet	Maura L. Wheet	VP of GP of sole MM of MM of sole Member of Issuer	2024-10-17
0001012975-24-000439	101	Centana Growth Partners III, L.P.	/s/ Steven Swain	Steven Swain	Managing Member of the General Partner	2024-10-16
0001012975-24-000438	101	STONEHILL INSTITUTIONAL PARTNERS LP	/s/ Paul Malek	Paul Malek	General Counsel, Stonehill Capital Management LLC	2024-10-17
0001911591-24-000002	101	Raisonance, Inc.	/s/ Jamie Mariani	Jamie Mariani	Chief Financial Officer	2024-10-17
0001012975-24-000437	101	STONEHILL OFFSHORE PARTNERS LTD	/s/ Paul Malek	Paul Malek	General Counsel, Stonehill Capital Management LLC	2024-10-17
0001889759-24-000001	101	Millennium Private Investors Offshore Conduit, Ltd.	Christopher Faricelli	Christopher Faricelli	Managing Director of the Administrator of the Issuer	2024-10-17
0001315863-24-000768	101	Invictus Opportunity Offshore Feeder IV, L.P.	/s/ Robert Konigsberg	Robert Konigsberg	COO of the General Partner of the Issuer	2024-10-17
0001911591-24-000001	101	Raisonance, Inc.	/s/ Jamie Mariani	Jamie Mariani	Chief Financial Officer	2024-10-17
0002040383-24-000001	101	Abacus Finance SBIC Fund I, L.P.	/s/ Thomas Clifford	Thomas Clifford	Managing Member of the General Partner	2024-10-17
0000919574-24-005894	101	Jericho Capital Special Opportunities Ltd	/s/Joshua Resnick	Joshua Resnick	Director	2024-10-17
0001958879-24-000001	101	National Diversified Fund 6-SB, LLC	Byron Elliott	Byron Elliott	Attorney	2024-10-17
0001992812-24-000001	101	Automera US Inc.	/s/ Thong Q. Le	Thong Q. Le	Chief Executive Officer	2024-10-17
0001889757-24-000001	101	Millennium Private Investors Onshore Conduit, LLC	Christopher Faricelli	Christopher Faricelli	Managing Director of the Administrator of the Issuer	2024-10-17
0001553997-24-000019	101	IIOT-OXYS, Inc.	/s/ Clifford L. Emmons	Clifford L. Emmons	CEO	2024-10-17
0002037558-24-000004	101	Kamal Ravikant Capital, LP - E1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-10-17
0002037558-24-000004	102	Kamal Ravikant Capital QP, LP - E1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-10-17
0002037735-24-000003	102	Unpopular Ventures Preferred QP, LP - D4	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-10-17
0002037735-24-000003	101	Unpopular Ventures Preferred, LP - D4	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-10-17
0002037731-24-000003	101	Reinforced Ventures Subscription Fund, LP - D1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0002037490-24-000003	101	Healthspan Capital Rolling Fund, LP - D1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0001012975-24-000436	101	Belle Meade Associates NT L P	/s/ Lauren Blum	Lauren Blum	Managing Partner	2024-10-17
0001012975-24-000435	101	BELLE MEADE ASSOCIATES LP	/s/ Lauren Blum	Lauren Blum	Managing Partner	2024-10-17
0001012975-24-000434	101	BELLE MEADE ASSOCIATES NY L P	/s/ Lauren Blum	Lauren Blum	Managing Partner	2024-10-17
0002037752-24-000003	101	Duro Ventures, LP - E1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0002038268-24-000002	101	TH-0917 Fund II, a series of Unpopular VC, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0002035291-24-000002	101	VA-0822 Fund I, a series of Commodity Capital SPVs, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0002040884-24-000002	101	ME-1006 Fund I, a series of AngelList Quant Fund Direct Investments, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0002036039-24-000002	101	SP-0821 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-10-17
0000902664-24-005863	101	Florin Court Capital Fund	/s/ Grant Jackson	Grant Jackson	Director	2024-10-17
0000902664-24-005862	101	Marshall Wace Funds LP - MW Alpha Plus (US) Fund II	/s/ Linburgh Martin	Linburgh Martin	Director of the General Partner	2024-10-17
0000902664-24-005861	101	Moraine Fund, Ltd	/s/ Cathy Weist	Cathy Weist	General Counsel	2024-10-17
0000902664-24-005860	101	EDL Global Opportunities Fund Ltd	/s/ Yolanda Banks McCoy	Yolanda Banks McCoy	Director	2024-10-17
0001104659-24-109335	101	Global Access Fund II, LP	/s/ Jonathan McGowan	Jonathan McGowan	Managing Member of the General Partner to the Issuer	2024-10-17
0001104659-24-109328	101	Global Access Fund I, LP	/s/ Jonathan McGowan	Jonathan McGowan	Managing Member of the General Partner to the Issuer	2024-10-17
0001936269-24-000001	101	Element3 Health, Inc.	/s/ Doug Wenners	Doug Wenners	Chief Executive Officer	2024-10-16
0001231919-24-000085	101	Rise Works, Inc.	/s/ Hugo Finkelstein	Hugo Finkelstein	Chief Executive Officer	2024-10-16
0002040586-24-000001	101	Advent Life Sciences Growth Fund LP	Kaasim Mahmood	Kaasim Mahmood	General Partner of the Manager	2024-10-16
0001398344-24-018950	101	Waverly Opportunity Fund I, LP	/s/ Scott E. Craig	Scott E. Craig	PEO for the General Partner, Waverly Funds Group, LLC	2024-10-02
0002041503-24-000001	101	Timberland Indigo LLC	/s/ Robert L. Fransen	Robert L. Fransen	President and Chief Executive Officer of the Manager	2024-10-16
0002041443-24-000001	101	Hello Soju Inc.	Elisabeth Baron	Elisabeth Baron	Chief Executive Officer	2024-10-16
0001990137-24-000001	101	Lemonade Technology Inc.	/s/ Ridwan Olalere Akangbe	Ridwan Olalere Akangbe	President	2024-10-16
0002041370-24-000001	101	Dash Bio, Inc.	DAVID JOHNSON	DAVID JOHNSON	PRESIDENT AND CEO	2024-10-16
0002034744-24-000001	101	Tamarack Global Impulse Space II, LP	/s/Radney Wood	Radney Wood	By POA from James Bainbridge Lee, Manager	2024-10-16
0001931921-24-000002	101	Nurocor Inc	Paul Gigg	Paul Gigg	Chairman	2024-10-16
0001960586-24-000004	101	Osigu Inc.	Fernando Botran	Fernando Botran	Chief Executive Officer	2024-10-16
0002036479-24-000001	101	U.S. Venture Partners Select Fund I, L.P.	/s/ Dale Holladay	Dale Holladay	Chief Financial Officer	2024-10-16
0002041382-24-000001	101	LCLA Investor Group, LLC	/s/ Matt Van Der Molen	Matt Van Der Molen	Manager of Manager of Issuer	2024-10-16
0002041437-24-000001	101	J4 Ventures Fund II, LP	Bruce Jaffe	Bruce Jaffe	Manager of General Partner	2024-10-16
0001096906-24-002010	101	Castle Peak Fund I LLC	/s/ Sidney Benjamin Weinberg	Sidney Benjamin Weinberg	Authorized Signatory	2024-10-14
0002041285-24-000001	101	Pye POS Inc.	/s/Jegil Dugger	Jegil Dugger	CEO	2024-10-16
0000919574-24-005892	101	Axonic Coinvest II, LP	/s/ John Kelly	John Kelly	Authorized Signatory	2024-10-16
0002025803-24-000001	101	GSI Franklin Goose Creek Investors, LLC	/s/ Joe F. Teague, Jr.	Joe F. Teague, Jr.	President and COO of the Manager	2024-10-16
0001931921-24-000003	101	Nurocor Inc	Paul Gigg	Paul Gigg	Chairman	2024-10-16
0002041290-24-000001	101	CES PROPERTIES FUND XLIV (MURRIETA) LLC	William C. Wagner	William C. Wagner	President of Manager of LLC	2024-10-16
0002041389-24-000001	101	JT Ladera, LLC	/s/ Ryan Delin	Ryan Delin	CFO and President of the Manager	2024-10-16
0002020386-24-000003	101	Caravel Capital Fund I, LP	ADRIAN PINTO	ADRIAN PINTO	MANAGER OF GP OF GP OF ISSUER.	2024-09-11
0002035127-24-000003	101	AKTIV INSIGHTS, INC.	/s/ Alex Ono Vermillion	ALEX ONO VERMILLION	PRESIDENT	2024-10-16
0001062993-24-017726	101	Myriad Uranium Corp.	/s/ Thomas Lamb	Thomas Lamb	CEO	2024-10-07
0002041317-24-000003	101	Electric Feel Ventures Fund I LP	/s/ Carl Austin Rosen	Carl Austin Rosen	Member of the General Partner of the Issuer	2024-10-14
0002038878-24-000001	101	Sweetwater Secondaries Fund IV L.P.	/s/ Brent Granado	Brent Granado	Manager	2024-10-16
0002037877-24-000001	101	Crow Holdings Real Estate Credit Fund, L.P.	M. Kevin Bryant	M. Kevin Bryant	VP and Secretary of the GP of GP of GP of Issuer	2024-10-16
0002041506-24-000001	101	Cyan Ventures Fund I, LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0002037865-24-000001	101	Crow Holdings Industrial Development Fund, L.P.	M. Kevin Bryant	M. Kevin Bryant	VP and Secretary of the GP of GP of GP of Issuer	2024-10-16
0001774170-24-000003	101	Powerfleet, Inc.	/s/ David Wilson	David Wilson	Chief Financial Officer	2024-10-16
0001865603-24-000006	101	ICUL Service Corp	Thomas H. Kane	Thomas H. Kane	CEO	2024-10-16
0001104659-24-109257	101	Incubate Fund VI, L.P.	/s/ Jasmin Yee	Jasmin Yee	Senior Manager	2024-10-16
0002040458-24-000001	101	Watchfire SPV SF, L.P.	/s/ Patrick Dillingham	Patrick Dillingham	Managing Director of the General Partner	2024-10-16
0001995591-24-000001	101	Castlelake Asset-Based Private Credit III Evergreen Feeder, L.P.	Daniel McNally	Daniel McNally	Authorized Signatory of the GP of the GP of the Issuer	2024-10-16
0002040950-24-000001	101	Aria Investments UT, LLC	Jed B. Millburn	Jed B. Millburn	Manager of M&C Properties Utah JS, LLC, Manager of Aria Mana	2024-10-16
0001971801-24-000001	101	Castlelake Asset-Based Private Credit III Evergreen B, L.P.	Daniel McNally	Daniel McNally	Authorized Signatory of the GP of the GP of the Issuer	2024-10-16
0001952396-24-000002	101	Dearfield Fund for Black Wealth, PB LLC	/s/ Santhosh Ramdoss	Santhosh Ramdoss	Manager of DCM LLC, Manager of the Fund	2024-10-16
0001971781-24-000001	101	Castlelake Asset-Based Private Credit III Evergreen A, L.P.	Daniel McNally	Daniel McNally	Authorized Signatory of the GP of the GP of the Issuer	2024-10-16
0002041091-24-000002	101	Trinity Fund I, LLC	/s/ Benjamin Hartings	Benjamin Hartings	Manager	2024-10-16
0001615025-24-000003	101	BrightView Partners LP	Michael Kerris	Michael Kerris	Manager of the GP and Investment Manager	2024-10-16
0001980498-24-000001	101	HPA 2023 BT Investment, LLC	/s/ Peter Wilkins	Peter Wilkins	Manager of the Manager of the Issuer	2024-10-16
0001818565-24-000003	101	Utilidata, Inc.	/s/ Josh Brumberger	Josh Brumberger	Chief Executive Officer	2024-10-16
0002041317-24-000002	101	Warm Wells Capital Fund I LP	/s/ David Roitblat	David Roitblat	Manager of the General Partner of the Issuer	2024-10-16
0002037062-24-000001	101	CF Summit Ridge Multifamily DST	Christopher A. Milner	Christopher A. Milner	President of the Sponsor	2024-10-16
0002041317-24-000001	101	Lang Capital Fund I LP	/s/ Menachem Lang	Menachem Lang	Manager of the General Partner of the Issuer	2024-10-16
0002001034-24-000002	101	RIPPL Care, Inc.	/s/ Paul Engskov	Paul Engskov	Chief Executive Officer	2024-10-16
0002022790-24-000006	101	MDS 2024-Shale Development, LP	Michael D. Snyder	Michael D. Snyder	CEO of the Managing General Partner	2024-10-16
0002040716-24-000001	101	Vatn CSP LLC	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0002040702-24-000001	101	TSP WRC Fund II LLC	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0000950142-24-002585	101	Pretium Legal Opportunities Fund B, LP	/s/ Christopher Weidler	Christopher Weidler	Chief Financial Officer of the Investment Manager	2024-10-16
0002040685-24-000001	101	Scalar Ventures CoreWeave LLC	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0002028463-24-000001	101	Illinois Deep Technology Strategic Venture Fund, L.P.	/s/ Nancy Sullivan	Nancy Sullivan	Managing Principal of the General Partner of the Issuer	2024-10-16
0001123292-24-000304	101	GCA Multifamily Fund IV, L.P.	Russell Aaronson, III	/s/ Russell Aaronson, III	Executive Vice President and General Counsel	2024-10-16
0002040684-24-000001	101	RhythmScience SPV 1, a Series of Vauban Platform LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0001493152-24-041291	101	reSpace, Inc.	/s/ Katrina Eileen Romatowski	Katrina Eileen Romatowski	CEO	2024-10-16
0002039888-24-000001	101	Miriam Cocina Latina No. 2, LLC	/s/ Shannon Wynne	Shannon Wynne	Manager of Manager	2024-10-16
0001493152-24-041289	101	INTERPACE BIOSCIENCES, INC.	/s/ Thomas W. Burnell	Thomas W. Burnell	President and Chief Executive Officer	2024-10-16
0002040875-24-000001	101	Mangusta Capital Eight Sleep 1, a Series of Vauban Platform LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0001841068-24-000002	101	AQ Sage Parent, L.P.	Natasha I. Pfeiffer	Natasha I. Pfeiffer	See explanation box in item 3.	2024-10-16
0002040667-24-000001	101	Landform II, LLC	/s/ Kenny Traynom	Kenny Traynom	Sole Member of Managing Member of Issuer	2024-10-16
0002033800-24-000001	101	IBX X-Energy SPV Fund I	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0002041214-24-000001	101	Kingsway Frontier Consumer Opportunities (FCO4) Growth Fund IV Ltd	/s/ Conor McNaughton	Conor McNaughton	Director	2024-10-16
0002040683-24-000001	101	Fifty Years Multiply, a Series of Vauban Platform LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0001993633-24-000008	101	JWCM Republic Alamo Heights, DST	/s/ Jason Warsavsky	Jason Warsavsky	President of the Sponsor of the Issuer	2024-10-16
0002040694-24-000001	101	Sprout Capital Partners Opportunity SPV IV, LP	/s/ Kirk Carson	Kirk Carson	Authorized Signatory of the Issuer	2024-10-16
0001348362-24-000005	101	Lexaria Bioscience Corp.	/Richard Christopher/	Richard Christopher	CEO	2024-10-16
0002041263-24-000001	101	POST BRIDGEPOINT PARTNERS, LLC	/s/ Jason Post	Jason Post	Manager	2024-10-16
